LookupType_ID	LookupType_Title_Fa	Lookup_ID	Lookup_Title_Fa	LookupCode
174	موضوع شکایت	1798	کیفیت پایین قطعات - سنسور دمای روغن	
174	موضوع شکایت	1799	کیفیت پایین قطعات - کیت آنلودر	
174	موضوع شکایت	1800	کیفیت پایین قطعات - کنتاکتور	
174	موضوع شکایت	1801	کیفیت پایین قطعات - سنسور نیتروژن	
174	موضوع شکایت	1802	کیفیت پایین قطعات - CNG	14
174	موضوع شکایت	1807	کیفیت پایین قطعات - کیت Breather	
174	موضوع شکایت	1809	کیفیت پایین قطعات - شیر برقی	
174	موضوع شکایت	1810	کیفیت پایین قطعات - کاسه نمد	
174	موضوع شکایت	1846	نارضایتی از عملکرد تکنسین - CNG	14
174	موضوع شکایت	1847	عدم اجرای تعهدات قراردادی - CNG	14
174	موضوع شکایت	1849	تاخیر در ارائه خدمات - CNG	
174	موضوع شکایت	1850	تاخیر در نصب و راه اندازی - CNG	
174	موضوع شکایت	1870	تاخیر در راه اندازی - خدمات هوای فشرده	
174	موضوع شکایت	1910	تاخیر در نصب - تدارکات	
174	موضوع شکایت	1911	تاخیر در اعزام کارشناس - CNG	
174	موضوع شکایت	1912	ضعف مشاوره واحد خدمات - هوای فشرده	
174	موضوع شکایت	1913	ضعف مشاوره خدمات - کمپرسورهای توربینی	
174	موضوع شکایت	1914	قیمت بالای خدمات - هوای فشرده	
174	موضوع شکایت	1925	تاخیر در تحویل محصول	
174	موضوع شکایت	1935	تاخیر در ارائه خدمات - کمپرسورهای توربینی	
174	موضوع شکایت	1936	قیمت بالای قطعات - کمپرسورهای توربینی	
174	موضوع شکایت	1937	تاخیر در تحویل قطعه - کمپرسورهای توربینی	
174	موضوع شکایت	1938	قیمت بالای خدمات - کمپرسورهای توربینی	
174	موضوع شکایت	1946	عدم اجرای تعهدات قراردادی - فروش	
174	موضوع شکایت	2054	عدم اجرای تعهدات قراردادی - نمایندگی خدمات هوای فشرده	
174	موضوع شکایت	2073	عدم دریافت به موقع خدمات جانبی مرتبط با خرید	
174	موضوع شکایت	2074	عدم اطلاع رسانی جهت الزامات نصب - فروش	
174	موضوع شکایت	2075	ارزیابی ضعیف درباره برند هوایار	
174	موضوع شکایت	2076	عدم اعتماد به شرکت هوایار	
174	موضوع شکایت	2077	عدم پیشنهاد هوایار به شرکای تجاری	
174	موضوع شکایت	2078	عدم تمایل به خرید مجدد	
174	موضوع شکایت	2079	عدم تطابق محصول با نیازمندی	
